,,2023-04-27
SPGI,open,345.9100036621094
SPGI,close,355.5799865722656
SRE,open,155.08999633789062
SRE,close,156.08999633789062
STE,open,183.16000366210938
STE,close,185.85000610351562
STLD,open,102.76000213623047
STLD,close,104.37000274658203
STT,open,70.56999969482422
STT,close,71.16999816894531
STX,open,56.40999984741211
STX,close,56.79999923706055
STZ,open,225.16000366210938
STZ,close,228.55999755859375
SWK,open,78.55999755859375
SWK,close,82.3499984741211
SWKS,open,102.66000366210938
SWKS,close,103.91000366210938
SYF,open,29.389999389648438
SYF,close,29.350000381469727
SYK,open,298.8599853515625
SYK,close,298.2200012207031
SYY,open,74.11000061035156
SYY,close,75.08000183105469
T,open,17.3799991607666
T,close,17.610000610351562
TAP,open,59.15999984741211
TAP,close,59.09000015258789
TDG,open,751.3200073242188
TDG,close,759.1400146484375
TDY,open,404.8599853515625
TDY,close,410.989990234375
TECH,open,78.41999816894531
TECH,close,77.69999694824219
TEL,open,119.95999908447266
TEL,close,121.38999938964844
TER,open,90.0
TER,close,90.37000274658203
TFC,open,30.68000030517578
TFC,close,31.3799991607666
TFX,open,264.8299865722656
TFX,close,268.6600036621094
TGT,open,156.22999572753906
TGT,close,158.14999389648438
TJX,open,77.8499984741211
TJX,close,78.94000244140625
TMO,open,533.5
TMO,close,543.02001953125
TMUS,open,148.85000610351562
TMUS,close,149.94000244140625
TPR,open,40.400001525878906
TPR,close,40.849998474121094
TRGP,open,73.9800033569336
TRGP,close,74.27999877929688
TRMB,open,46.5099983215332
TRMB,close,46.65999984741211
TROW,open,109.30999755859375
TROW,close,110.83000183105469
TRV,open,176.8699951171875
TRV,close,180.25
TSCO,open,242.0
TSCO,close,239.08999633789062
TSLA,open,152.63999938964844
TSLA,close,160.19000244140625
TSN,open,60.33000183105469
TSN,close,61.279998779296875
TT,open,179.5
TT,close,185.5
TTWO,open,122.45999908447266
TTWO,close,123.94999694824219
TXN,open,162.72999572753906
TXN,close,165.27000427246094
TXT,open,65.16999816894531
TXT,close,65.55999755859375
TYL,open,367.6199951171875
TYL,close,386.20001220703125
UAL,open,42.61000061035156
UAL,close,42.83000183105469
UDR,open,40.0
UDR,close,41.09000015258789
UHS,open,143.42999267578125
UHS,close,145.82000732421875
ULTA,open,550.0
ULTA,close,547.77001953125
UNH,open,482.20001220703125
UNH,close,490.4700012207031
UNP,open,191.25
